Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Its Only Art If Its Well Hung!,,['Julie Strain'],http://books.google.com/books/content?id=DykPAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=DykPAAAACAAJ&dq=Its+Only+Art+If+Its+Well+Hung!&hl=&cd=1&source=gbs_api,,1996,http://books.google.nl/books?id=DykPAAAACAAJ&dq=Its+Only+Art+If+Its+Well+Hung!&hl=&source=gbs_api,['Comics & Graphic Novels'],
Pyrography Designs,"This book offers 30 North American wildlife illustrations and 10 border designs to use in woodburning projects. Large ready-to-use designs are provided in both line and tonal patterns. The author includes tips on transferring patterns, plus advice on segmenting and manipulating the images to create your own custom designs.",['Sue Walters'],http://books.google.com/books/content?id=f5hOnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=f5hOnQEACAAJ&dq=Pyrography+Designs&hl=&cd=1&source=gbs_api,Fox Chapel Publishing Company Incorporated,2014-02-01,http://books.google.nl/books?id=f5hOnQEACAAJ&dq=Pyrography+Designs&hl=&source=gbs_api,['Art'],
"Bye-Bye, Mom and Dad",Little Critter thinks he is in charge when Mom and Dad go away for the day even though Grandma and Grandpa spend the day with him.,['Mercer Mayer'],,"http://books.google.nl/books?id=5iK9tAEACAAJ&dq=Bye-Bye,+Mom+and+Dad&hl=&cd=1&source=gbs_api",,2004,"http://books.google.nl/books?id=5iK9tAEACAAJ&dq=Bye-Bye,+Mom+and+Dad&hl=&source=gbs_api",['Families'],
Hypatia or New Foes with an Old Face,"This book is part of the TREDITION CLASSICS series. The creators of this series are united by passion for literature and driven by the intention of making all public domain books available in printed format again - worldwide. At tredition we believe that a great book never goes out of style. Several mostly non-profit literature projects provide content to tredition. To support their good work, tredition donates a portion of the proceeds from each sold copy. As a reader of a TREDITION CLASSICS book, you support our mission to save many of the amazing works of world literature from oblivion.",['Charles Kingsley'],http://books.google.com/books/content?id=wX9EtQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=wX9EtQAACAAJ&dq=Hypatia+or+New+Foes+with+an+Old+Face&hl=&cd=1&source=gbs_api,Tredition Classics,2011-11,http://books.google.nl/books?id=wX9EtQAACAAJ&dq=Hypatia+or+New+Foes+with+an+Old+Face&hl=&source=gbs_api,,
Musings of an Eccentric Dreamer: An Anthology of Love Poetry,"In het koninkrijk Alban gaat het volk gebukt onder het schrikbewind van koning Keldec. Het gebruik van magie is er verboden. Contact met een van de vele magische wezens die het land bevolken, wordt steeds vaker met de dood bestraft. De vijftienjarige Neryn is samen met haar vader op de vlucht voor de krijgers van Keldec. Dan gebeurt er iets verschrikkelijks. Haar vader ondergaat als het ware een gedaanteverwisseling, en vóór het goed en wel tot Neryn doordringt, wordt ze door hem verspeeld in een illegaal dobbelspel. Neryn rest geen andere keuze dan zich te schikken naar de wensen van de geheimzinnige onbekende die nu haar heer en meester is. Maar er is hoop. Neryn ontdekt dat zij beschikt over een unieke gave, een onverwacht talent dat haar het doelwit maakt van verschillende partijen, onder wie de trawanten van Keldec. En dat talent komt maar wat van pas als Neryn het vluchten zat is en besluit terug te vechten...",['Juliet Marillier'],http://books.google.com/books/content?id=5ccvAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=5ccvAgAAQBAJ&printsec=frontcover&dq=Musings+of+an+Eccentric+Dreamer:+An+Anthology+of+Love+Poetry&hl=&cd=1&source=gbs_api,Luitingh Sijthoff Fantasy,2012-07-11,https://play.google.com/store/books/details?id=5ccvAgAAQBAJ&source=gbs_api,['Fiction'],
The Stone that the Builder Refused: A Novel,"The Stone that the Builder Refused is the final volume of Madison Smartt Bell’s masterful trilogy about the Haitian Revolution–the first successful slave revolution in history–which begins with All Souls' Rising (a finalist for the National Book Award and the PEN/Faulkner Award) and continues with Master of the Crossroads. Each of these three novels can be read independently of the two others; of the trilogy, The Baltimore Sun has said, “[It] will make an indelible mark on literary history–one worthy of occupying the same shelf as Tolstoy’s War and Peace.”",['Madison Smartt Bell'],http://books.google.com/books/content?id=cHir6mDPmtwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=cHir6mDPmtwC&printsec=frontcover&dq=The+Stone+that+the+Builder+Refused:+A+Novel&hl=&cd=1&source=gbs_api,Vintage,2007-12-18,https://play.google.com/store/books/details?id=cHir6mDPmtwC&source=gbs_api,['Fiction'],
El Kybalion,"El Kybalion es la filosofia hermetica del Antiguo Egipto y Grecia. Esta breve obra esta basada en las antiquisimas ensenanzas hermeticas que han llegado hasta nosotros a lo largo de estos siglos desde la existencia de su Gran Fundador, Hermes Trismegistus, el ""escriba de los dioses,"" que vivio en el antiguo Egipto. El objetivo de esta obra no es la presentacion de ninguna filosofia o doctrina especiales, sino mas bien expone un texto donde se plantea la verdad que servira para ayudar a reunir todas las partes del conocimiento oculto. No pretende erigir un nuevo templo de sabiduria, sino mas bien aportar al estudioso las herramientas con las que pueda comprender y abrir las puertas internas del Templo del Misterio, y aplicar sus principios.",['Tres Iniciados'],http://books.google.com/books/content?id=Fn5DnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=Fn5DnwEACAAJ&dq=El+Kybalion&hl=&cd=1&source=gbs_api,,2013-11,http://books.google.nl/books?id=Fn5DnwEACAAJ&dq=El+Kybalion&hl=&source=gbs_api,,
His Grace Endures (Regency Romance),"While trying to help her younger sister-in-law find a respectable mate in London, Deirdre Broghan finds herself beset by the man she once left standing at the altar, the devilish and devilishly handsome Duke of Conover. Original.",['Emma Jensen'],http://books.google.com/books/content?id=-qaIPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=-qaIPQAACAAJ&dq=His+Grace+Endures+(Regency+Romance)&hl=&cd=1&source=gbs_api,Ivy Books,1998-04-29,http://books.google.nl/books?id=-qaIPQAACAAJ&dq=His+Grace+Endures+(Regency+Romance)&hl=&source=gbs_api,['Fiction'],
ZOMBIE LOVER (XANTH),"Something’s rotten in the land of Xanth—and it’s not just the undead—in this “cheeky” adventure in the New York Times–bestselling series (Publishers Weekly). Horrors and hilarity collide as a fate far worse than death awaits a vivacious young visitor to “the Florida-shaped fantasy land where anything goes and the puns pack every page” (Kirkus Reviews). Breanna, a beautiful young newcomer to the enchanted land of Xanth, must deal with a distressing dilemma. She has unwittingly attracted the affections of King Xeth, ruler of Xanth’s Zombies, who yearns to make her queen of the undead! Her quest to preserve her innocence, and find her destiny, takes her on an exhilarating excursion packed with perils, puzzles, and piles of puns. Zombie Lover will provide a profusion of macabre merriment.",['Piers Anthony'],http://books.google.com/books/content?id=dNGwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=dNGwDwAAQBAJ&printsec=frontcover&dq=ZOMBIE+LOVER+(XANTH)&hl=&cd=1&source=gbs_api,Open Road Media,2019-11-05,https://play.google.com/store/books/details?id=dNGwDwAAQBAJ&source=gbs_api,['Fiction'],3.0
Strategies for Stillwater,"Discusses tackle, flies, locating trout, and recognizing and matching lake food forms",['Dave Hughes'],http://books.google.com/books/content?id=ZLLggPAhNZcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=ZLLggPAhNZcC&printsec=frontcover&dq=Strategies+for+Stillwater&hl=&cd=1&source=gbs_api,Stackpole Books,1991,http://books.google.nl/books?id=ZLLggPAhNZcC&dq=Strategies+for+Stillwater&hl=&source=gbs_api,['Sports & Recreation'],1.0
